title|series|ord|year|format|isbn|edn
The Light Fantastic|Discworld|02|2016|Hardback|9780861402038|8/ 
Equal Rites|Discworld|03|1993|Hardback|0575039507|1/6
Mort|Discworld|04|1996|Hardback|0575064080| / 
Sourcery|Discworld|05|1991|Hardback|0575042176|1/5
Wyrd Sisters|Discworld|06|1988|Hardback|0575043636|1/3
Eric|Discworld|09|1990|Graphic|0575048360|1/1
Moving Pictures|Discworld|10|1990|Hardback|0575047631|1/2
Reaper Man|Discworld|11|1991|Hardback|&nbsp;| / 
Witches Abroad|Discworld|12|1991|Hardback|0575049804|1/1
Small Gods|Discworld|13|1994|Hardback|&nbsp;| /2
Lords And Ladies|Discworld|14|1992|Hardback|&nbsp;| / 
Men At Arms|Discworld|15|1993|Hardback|0575055030|1/2
Soul Music|Discworld|16|1994|Hardback|0575055049|1/1
Interesting Times|Discworld|17|1994|Hardback|0575058005|1/1
Maskerade|Discworld|18|1995|Hardback|0575058080|1/4
Feet Of Clay|Discworld|19|1996|Hardback|0575059001|1/1
Hogfather|Discworld|20|1996|Hardback|057506403x|1/1
Jingo|Discworld|21|1997|Hardback|0575065400|1/1
The Last Continent|Discworld|22|1998|Hardback|0385409893|1/1
Carpe Jugulum|Discworld|23|1998|Hardback|0385409923|1/1
The Fifth Elephant|Discworld|24|1999|Hardback|0385409958|1/1
The Truth|Discworld|25|2000|Hardback|0385601026|1/1
Thief Of Time|Discworld|26|2001|Hardback|0385601883|1/1
The Last Hero|Discworld|27|2001|Hardback|057506885x|1/1
The Amazing Maurice And His Educated Rodents|Discworld|28|2001|Hardback|0385601239|1/1
Night Watch|Discworld|29|2002|Hardback|0385602642|1/1
The Wee Free Men|Discworld|30|2003|Hardback|0385605331|1/1
Monstrous Regiment|Discworld|31|2003|Hardback|0385603401|1/1
A Hat Full Of Sky|Discworld|32|2004|Hardback|0385607369|1/1
Going Postal|Discworld|33|2004|Hardback|0385603418|1/1
Thud!|Discworld|34|2005|Hardback|0385608675|1/1
Wintersmith|Discworld|35|2006|Hardback|0385609841|1/1
Making Money|Discworld|36|2007|Hardback|9780385611015|1/6
Unseen Academicals|Discworld|37|2009|Hardback|9780385609340|1/1
