title|ser|actors|genre|cert|year|mins|format|set|score
10 Things I Hate About You|&nbsp;|Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik|Comedy, Drama, Romance|PG-13|1999|97 min|DVD|No|7.3
10th Kingdom, The|1|Dianne Wiest, Daniel Lapaine, Kimberly Williams-Paisley, Scott Cohen|Adventure, Comedy, Family, Fantasy, Mystery, Romance|NOT RATED|2000|417 min|DVD|Yes|8.4
13th Warrior, The|&nbsp;|Antonio Banderas, Diane Venora, Dennis Storhøi, Vladimir Kulich|Action, Adventure, History|R|1999|102 min|DVD|No|6.6
3:10 to Yuma|&nbsp;|Russell Crowe, Christian Bale, Logan Lerman, Dallas Roberts|Action, Crime, Drama, Western|R|2007|122 min|DVD|No|7.7
300|&nbsp;|Gerard Butler, Lena Headey, Dominic West, David Wenham|Action, Fantasy|R|2006|117 min|DVD|No|7.7
633 Squadron|&nbsp;|Cliff Robertson, George Chakiris, Maria Perschy, Harry Andrews|War, Drama|APPROVED|1964|102 min|DVD|No|6.4
A Clockwork Orange|&nbsp;|Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke|Crime, Drama, Sci-Fi|R|1971|136 min|DVD|No|8.3
A Few Good Men|&nbsp;|Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon|Drama, Thriller|R|1992|138 min|DVD|No|7.7
A Fistful of Dollars|&nbsp;|Clint Eastwood, Marianne Koch, Gian Maria Volontè, Wolfgang Lukschy|Western|R|1964|99 min|DVD|No|8.0
A Perfect World|&nbsp;|Kevin Costner, Clint Eastwood, Laura Dern, T.J. Lowther|Crime, Drama, Thriller|PG-13|1993|138 min|Bluray|Yes|7.5
A Shot in the Dark|&nbsp;|Peter Sellers, Elke Sommer, George Sanders, Herbert Lom|Comedy, Mystery|PG|1964|102 min|DVD|Yes|7.5
A.I. Artificial Intelligence|&nbsp;|Haley Joel Osment, Frances O'Connor, Sam Robards, Jake Thomas|Adventure, Drama, Sci-Fi|PG-13|2001|146 min|DVD|No|7.1
Adjustment Bureau, The||Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner|Romance, Sci-Fi, Thriller|PG-13|2011|106 min|DVD|No|7.1
Æon Flux|&nbsp;|Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo|Action, Adventure, Drama, Mystery, Sci-Fi, Thriller|PG-13|2005|93 min|DVD|No|5.5
Alexander|&nbsp;|Anthony Hopkins, David Bedella, Jessie Kamm, Angelina Jolie|Action, Adventure, Biography, Drama, History, Romance, War|R|2004|175 min|DVD|No|5.6
Alfie|&nbsp;|Jude Law, Renée Taylor, Jane Krakowski, Jeff Harding|Comedy, Drama, Romance|R|2004|103 min|DVD|No|6.2
Alice in Wonderland|&nbsp;|Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway|Adventure, Family, Fantasy|PG|2010|108 min|Bluray|No|6.5
Alien|&nbsp;|Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton|Horror, Sci-Fi|R|1979|116 min|DVD|Yes|8.5
Alien: Resurrection|&nbsp;|Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman|Action, Horror, Sci-Fi|R|1997|109 min|DVD|Yes|6.2
Alien³|&nbsp;|Sigourney Weaver, Charles S. Dutton, Charles Dance, Paul McGann|Action, Horror, Sci-Fi|R|1992|114 min|DVD|Yes|6.4
Aliens|&nbsp;|Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser|Action, Adventure, Sci-Fi, Thriller|R|1986|137 min|DVD|Yes|8.4
An Idiot Abroad|1|Karl Pilkington, Ricky Gervais, Stephen Merchant|Documentary, Adventure, Comedy, Reality-TV|TV-14|2010–2012|43 min|DVD|Yes|8.3
An Idiot Abroad|2|Karl Pilkington, Ricky Gervais, Stephen Merchant|Documentary, Adventure, Comedy, Reality-TV|TV-14|2010–2012|43 min|DVD|Yes|8.3
An Idiot Abroad|3|Karl Pilkington, Ricky Gervais, Stephen Merchant|Documentary, Adventure, Comedy, Reality-TV|TV-14|2010–2012|43 min|DVD|Yes|8.3
And Now for Something Completely Different|&nbsp;|Graham Chapman, John Cleese, Terry Gilliam, Eric Idle|Comedy|PG|1971|88 min|DVD|Yes|7.6
Angel Heart|&nbsp;|Mickey Rourke, Robert De Niro, Lisa Bonet, Charlotte Rampling|Horror, Mystery, Thriller|R|1987|113 min|DVD|No|7.3
Angels & Demons|&nbsp;|Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård|Mystery, Thriller|PG-13|2009|138 min|DVD|No|6.7
Any Which Way You Can|&nbsp;|Clint Eastwood, Sondra Locke, Geoffrey Lewis, William Smith|Action, Comedy|PG|1980|116 min|DVD|Yes|6.1
Apocalypse Now|&nbsp;|Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest|Drama, War|R|1979|147 min|DVD|No|8.5
Apocalypto|&nbsp;|Rudy Youngblood, Dalia Hernández, Jonathan Brewer, Morris Birdyellowhead|Action, Adventure, Drama, Thriller|R|2006|139 min|DVD|No|7.8
Armageddon|&nbsp;|Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler|Action, Adventure, Sci-Fi, Thriller|PG-13|1998|151 min|DVD|No|6.7
Assassination of Jesse James by the Coward Robert Ford, The|&nbsp;|Brad Pitt, Mary-Louise Parker, Brooklynn Proulx, Dustin Bollinger|Biography, Crime, Drama, History, Western|R|2007|160 min|DVD|No|7.5
Astronaut's Wife, The|&nbsp;|Johnny Depp, Charlize Theron, Joe Morton, Clea DuVall|Drama, Sci-Fi, Thriller|R|1999|109 min|DVD|No|5.3
Atonement|&nbsp;|Saoirse Ronan, Ailidh Mackay, Brenda Blethyn, Julia West|Drama, Mystery, Romance, War|R|2007|123 min|DVD|No|7.8
Avatar|&nbsp;|Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang|Action, Adventure, Fantasy, Sci-Fi|PG-13|2009|162 min|DVD|No|7.8
Bad Boys|&nbsp;|Lisa Boyle, Michael Taliferro, Emmanuel Xuereb, Tchéky Karyo|Action, Comedy, Crime, Thriller|R|1995|119 min|DVD|Yes|6.9
Bad Boys II|&nbsp;|Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union|Action, Comedy, Crime, Thriller|R|2003|147 min|DVD|Yes|6.6
Basic Instinct||Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn|Drama, Mystery, Thriller|R|1992|127 min|DVD|Yes|6.9
Basic Instinct 2||Stan Collymore, Sharon Stone, Neil Maskell, David Thewlis|Drama, Mystery, Thriller|R|2006|114 min|DVD|Yes|4.3
Batman Begins|&nbsp;|Christian Bale, Michael Caine, Liam Neeson, Katie Holmes|Action, Adventure, Thriller|PG-13|2005|140 min|Bluray|Yes|8.3
Behind Enemy Lines|&nbsp;|Owen Wilson, Gene Hackman, Gabriel Macht, Charles Malik Whitfield|Action, Drama, Thriller, War|PG-13|2001|106 min|DVD|No|6.4
Benny & Joon|&nbsp;|Johnny Depp, Mary Stuart Masterson, Aidan Quinn, Julianne Moore|Comedy, Drama, Romance|PG|1993|98 min|DVD|No|7.2
Beowulf|&nbsp;|Robin Wright, Anthony Hopkins, Paul Baker, John Bilezikjian|Animation, Action, Adventure, Fantasy|PG-13|2007|115 min|DVD|No|6.2
Best of Depeche Mode Videos: Volume 1||Vince Clarke, Depeche Mode, Andrew Fletcher, David Gahan|N/A|N/A|2006|75 min|DVD|No|7.4
BFG, The|&nbsp;|David Jason, Amanda Root, Angela Thorne, Ballard Berkeley|Animation, Adventure, Drama, Family, Fantasy|N/A|1987|87 min|DVD|No|6.7
Big Trouble in Little China|&nbsp;|Kurt Russell, Kim Cattrall, Dennis Dun, James Hong|Action, Adventure, Comedy, Fantasy|PG-13|1986|99 min|DVD|No|7.3
Bill & Ted's Bogus Journey||Keanu Reeves, Alex Winter, William Sadler, Joss Ackland|Adventure, Comedy, Fantasy, Music, Sci-Fi|PG|1991|93 min|DVD|No|6.3
Billy Elliot|&nbsp;|Jamie Bell, Jean Heywood, Jamie Draven, Gary Lewis|Drama, Music, Romance|R|2000|110 min|DVD|No|7.7
Billy Elliot|&nbsp;|Elliott Hanna, Ollie Jochim, Bradley Perret, Matteo Zecca|Comedy, Drama, Music|NOT RATED|2014|169 min|DVD|No|8.5
Black Hawk Down|&nbsp;|Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana|Drama, History, War|R|2001|144 min|DVD|No|7.7
Blade II|&nbsp;|Wesley Snipes, Kris Kristofferson, Ron Perlman, Leonor Varela|Action, Horror, Sci-Fi, Thriller|R|2002|117 min|DVD|No|6.7
Blade Runner|&nbsp;|Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos|Sci-Fi, Thriller|R|1982|117 min|DVD|No|8.2
Blow|&nbsp;|Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths|Biography, Crime, Drama|R|2001|124 min|DVD|No|7.6
Bohemian Rhapsody||Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy|Biography, Drama, Music|PG-13|2018|134 min|4K HDR|No|8.1
Bone Collector, The|&nbsp;|Denzel Washington, Angelina Jolie, Queen Latifah, Michael Rooker|Crime, Drama, Mystery, Thriller|R|1999|118 min|DVD|No|6.7
Bones|1|Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne|Comedy, Crime, Drama, Mystery, Romance|TV-14|2005–2017|40 min|DVD|Yes|7.9
Boston Legal|1|James Spader, William Shatner, Candice Bergen, Rene Auberjonois|Comedy, Crime, Drama|TV-14|2004–2008|44 min|DVD|Yes|8.4
Boston Legal|2|James Spader, William Shatner, Candice Bergen, Rene Auberjonois|Comedy, Crime, Drama|TV-14|2004–2008|44 min|DVD|Yes|8.4
Boston Legal|3|James Spader, William Shatner, Candice Bergen, Rene Auberjonois|Comedy, Crime, Drama|TV-14|2004–2008|44 min|DVD|Yes|8.4
Boston Legal|4|James Spader, William Shatner, Candice Bergen, Rene Auberjonois|Comedy, Crime, Drama|TV-14|2004–2008|44 min|DVD|Yes|8.4
Boston Legal|5|James Spader, William Shatner, Candice Bergen, Rene Auberjonois|Comedy, Crime, Drama|TV-14|2004–2008|44 min|DVD|Yes|8.4
Bounty, The|&nbsp;|Mel Gibson, Anthony Hopkins, Laurence Olivier, Edward Fox|Action, Adventure, Drama, History, Romance|PG|1984|132 min|DVD|No|7.1
Bourne Identity, The|&nbsp;|Matt Damon, Franka Potente, Chris Cooper, Clive Owen|Action, Mystery, Thriller|PG-13|2002|119 min|DVD|No|7.9
Bourne Supremacy, The|&nbsp;|Matt Damon, Franka Potente, Brian Cox, Julia Stiles|Action, Mystery, Thriller|PG-13|2004|108 min|DVD|No|7.8
Bourne Ultimatum, The|&nbsp;|Matt Damon, Julia Stiles, David Strathairn, Scott Glenn|Action, Mystery, Thriller|PG-13|2007|115 min|DVD|No|8.0
Boy in the Striped Pajamas, The|&nbsp;|Asa Butterfield, Zac Mattoon O'Brien, Domonkos Németh, Henry Kingsmill|Drama, War|PG-13|2008|94 min|DVD|No|7.8
Bram Stoker's Dracula|&nbsp;|Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves|Horror|R|1992|128 min|DVD|No|7.5
Brazil||Jonathan Pryce, Robert De Niro, Katherine Helmond, Ian Holm|Drama, Sci-Fi|R|1985|132 min|DVD|No|8.0
Breaking Bad|1|Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris|Crime, Drama, Thriller|TV-MA|2008–2013|49 min|DVD|Yes|9.5
