title|season|year|mins|format|score
10 Things I Hate About You|&nbsp;|1999|97 min|DVD|7.3
10th Kingdom, The|1|2000|417 min|DVD|8.4
13th Warrior, The|&nbsp;|1999|102 min|DVD|6.6
21 Jump Street|1|1987–1991|60 min|DVD|7.2
3:10 to Yuma|&nbsp;|2007|122 min|DVD|7.7
300|&nbsp;|2006|117 min|DVD|7.7
633 Squadron|&nbsp;|1964|102 min|DVD|6.4
A Christmas Carol|&nbsp;|2009|96 min|DVD|6.8
A Clockwork Orange|&nbsp;|1971|136 min|DVD|8.3
A Few Good Men|&nbsp;|1992|138 min|DVD|7.7
A Fistful of Dollars|&nbsp;|1964|99 min|DVD|8.0
A Knight's Tale|&nbsp;|2001|132 min|DVD|6.9
A Perfect World|&nbsp;|1993|138 min|Blu-ray Disc|7.5
A Shot in the Dark|&nbsp;|1964|102 min|DVD|7.5
A Walk Among the Tombstones|&nbsp;|2014|114 min|DVD|6.5
A.I. Artificial Intelligence|&nbsp;|2001|146 min|DVD|7.1
Adjustment Bureau, The|&nbsp;|2011|106 min|DVD|7.1
Adventures of Buckaroo Banzai Across the 8th Dimension, The|&nbsp;|1984|103 min|DVD|6.3
Æon Flux|&nbsp;|2005|93 min|DVD|5.5
Airplane!|&nbsp;|1980|88 min|DVD|7.7
Alexander|&nbsp;|2004|175 min|DVD|5.6
Alfie|&nbsp;|2004|103 min|DVD|6.2
Ali|&nbsp;|2001|157 min|DVD|6.8
Alice in Wonderland|&nbsp;|2010|108 min|Blu-ray Disc|6.5
Alien|&nbsp;|1979|116 min|DVD|8.5
Alien: Resurrection|&nbsp;|1997|109 min|DVD|6.2
Alien³|&nbsp;|1992|114 min|DVD|6.4
Aliens|&nbsp;|1986|137 min|DVD|8.4
American Gangster|&nbsp;|2007|157 min|DVD|7.8
An American Haunting|&nbsp;|2005|83 min|DVD|5.1
An Idiot Abroad|1|2010–2012|43 min|DVD|8.3
An Idiot Abroad|2|2010–2012|43 min|DVD|8.3
An Idiot Abroad|3|2010–2012|43 min|DVD|8.3
And Now for Something Completely Different|&nbsp;|1971|88 min|DVD|7.6
Angel Heart|&nbsp;|1987|113 min|DVD|7.3
Angels & Demons|&nbsp;|2009|138 min|DVD|6.7
Any Which Way You Can|&nbsp;|1980|116 min|DVD|6.1
Apocalypse Now|&nbsp;|1979|147 min|DVD|8.5
Apocalypto|&nbsp;|2006|139 min|DVD|7.8
Apollo 13|&nbsp;|1995|140 min|DVD|7.6
Armageddon|&nbsp;|1998|151 min|DVD|6.7
Assassin's Creed|&nbsp;|2016|115 min|Blu-ray Disc|5.8
Assassination of Jesse James by the Coward Robert Ford, The|&nbsp;|2007|160 min|DVD|7.5
Astronaut's Wife, The|&nbsp;|1999|109 min|DVD|5.3
Atonement|&nbsp;|2007|123 min|DVD|7.8
Automata|&nbsp;|2014|109 min|DVD|6.1
Avatar|&nbsp;|2009|162 min|Blu-ray Disc|7.8
Bad Boys|&nbsp;|1995|119 min|DVD|6.9
Bad Boys II|&nbsp;|2003|147 min|DVD|6.6
Bank Job, The|&nbsp;|2008|111 min|DVD|7.2
Basic Instinct|&nbsp;|1992|127 min|DVD|6.9
Basic Instinct 2|&nbsp;|2006|114 min|DVD|4.3
Batman|&nbsp;|1989|126 min|Blu-ray Disc|7.5
Batman & Robin|&nbsp;|1997|125 min|Blu-ray Disc|3.7
Batman Begins|&nbsp;|2005|140 min|Blu-ray Disc|8.3
Batman Forever|&nbsp;|1995|121 min|Blu-ray Disc|5.4
Batman Returns|&nbsp;|1992|126 min|Blu-ray Disc|7.0
Beetlejuice|&nbsp;|1988|92 min|DVD|7.5
Behind Enemy Lines|&nbsp;|2001|106 min|DVD|6.4
Benny & Joon|&nbsp;|1993|98 min|DVD|7.2
Beowulf|&nbsp;|2007|115 min|DVD|6.2
Best of Depeche Mode Videos: Volume 1|&nbsp;|2006|75 min|DVD|7.4
BFG, The|&nbsp;|1987|87 min|DVD|6.7
Big Trouble in Little China|&nbsp;|1986|99 min|DVD|7.3
Bill & Ted's Bogus Journey|&nbsp;|1991|93 min|DVD|6.3
Bill & Ted's Excellent Adventure|&nbsp;|1989|90 min|DVD|6.9
Billy Elliot|&nbsp;|2000|110 min|DVD|7.7
Billy Elliot|&nbsp;|2014|169 min|DVD|8.5
Black Hawk Down|&nbsp;|2001|144 min|DVD|7.7
Black Swan|&nbsp;|2010|108 min|DVD|8.0
Blackadder|1|1982–1983|195 min|DVD|8.1
Blackadder's Christmas Carol|&nbsp;|1988|43 min|DVD|8.0
Blackadder Back & Forth|&nbsp;|1999|33 min|DVD|7.7
Blackadder Goes Forth|1|1989|175 min|DVD|8.8
Blackadder II|1|1986|176 min|DVD|8.6
Blackadder the Third|1|1987|180 min|DVD|8.6
Blade|&nbsp;|1998|120 min|DVD|7.1
Blade II|&nbsp;|2002|117 min|DVD|6.7
Blade Runner|&nbsp;|1982|117 min|DVD|8.2
Blade: Trinity|&nbsp;|2004|113 min|DVD|5.9
Blow|&nbsp;|2001|124 min|DVD|7.6
Blues Brothers, The|&nbsp;|1980|133 min|DVD|7.9
Bodyguard, The|&nbsp;|1992|129 min|DVD|6.3
Bohemian Rhapsody|&nbsp;|2018|134 min|Blu-ray Disc (4K UHD)|8.1
Bone Collector, The|&nbsp;|1999|118 min|DVD|6.7
Bone Tomahawk|&nbsp;|2015|132 min|DVD|7.1
Bones|1|2005–2017|40 min|DVD|7.9
Book of Eli, The|&nbsp;|2010|118 min|Blu-ray Disc|6.9
Boston Legal|1|2004–2008|44 min|DVD|8.4
Boston Legal|2|2004–2008|44 min|DVD|8.4
Boston Legal|3|2004–2008|44 min|DVD|8.4
Boston Legal|4|2004–2008|44 min|DVD|8.4
Boston Legal|5|2004–2008|44 min|DVD|8.4
Bounty, The|&nbsp;|1984|132 min|DVD|7.1
Bourne Identity, The|&nbsp;|2002|119 min|DVD|7.9
Bourne Supremacy, The|&nbsp;|2004|108 min|DVD|7.8
Bourne Ultimatum, The|&nbsp;|2007|115 min|DVD|8.0
Boy in the Striped Pajamas, The|&nbsp;|2008|94 min|DVD|7.8
Bram Stoker's Dracula|&nbsp;|1992|128 min|DVD|7.5
Brassed Off|&nbsp;|1996|103 min|DVD|7.1
Brazil|&nbsp;|1985|132 min|DVD|8.0
Breaking Bad|1|2008–2013|49 min|DVD|9.5
Breaking Bad|2|2008–2013|49 min|DVD|9.5
Breaking Bad|3|2008–2013|49 min|DVD|9.5
Breaking Bad|4|2008–2013|49 min|DVD|9.5
Breaking Bad|5|2008–2013|49 min|DVD|9.5
Brother Bear|&nbsp;|2003|85 min|DVD|6.8
Brothers Grimm, The|&nbsp;|2005|118 min|DVD|5.9
Bucket List, The|&nbsp;|2007|97 min|DVD|7.4
Cape Fear|&nbsp;|1962|106 min|DVD|7.8
Cape Fear|&nbsp;|1991|128 min|DVD|7.3
Captain Phillips|&nbsp;|2013|134 min|DVD|7.8
Captain Pugwash|1|1957–1966|5 min|DVD|6.7
Casino|&nbsp;|1995|178 min|DVD|8.2
Casino Royale|&nbsp;|2006|144 min|Blu-ray Disc|8.0
Cast Away|&nbsp;|2000|143 min|DVD|7.8
Cats|&nbsp;|1998|120 min|DVD|7.7
Charlie and the Chocolate Factory|&nbsp;|2005|115 min|DVD|6.7
Chicago|&nbsp;|2002|113 min|DVD|7.2
Children of Men|&nbsp;|2006|109 min|DVD|7.9
Chitty Chitty Bang Bang|&nbsp;|1968|144 min|DVD|6.9
Chocolat|&nbsp;|2000|121 min|DVD|7.3
Chronicles of Riddick, The|&nbsp;|2004|119 min|DVD|6.7
Chronicles of Riddick: Dark Fury|&nbsp;|2004|35 min|DVD|6.6
Cinderella Man|&nbsp;|2005|144 min|DVD|8.0
Clash of the Titans|&nbsp;|2010|106 min|DVD|5.8
Cloud Atlas|&nbsp;|2012|172 min|DVD|7.5
Coco|&nbsp;|2017|105 min|DVD|8.4
Cold Mountain|&nbsp;|2003|154 min|DVD|7.2
Coldplay: Live 2003|&nbsp;|2003|130 min|DVD|8.4
Colgate Comedy Hour, The|4|1950–1955|60 min|DVD|7.6
Colombiana|&nbsp;|2011|108 min|DVD|6.4
Commitments, The|&nbsp;|1991|118 min|DVD|7.6
Conan the Destroyer|&nbsp;|1984|103 min|DVD|5.9
Confessions of a Shopaholic|&nbsp;|2009|104 min|DVD|5.9
Conspiracy Theory|&nbsp;|1997|135 min|DVD|6.7
Constantine|&nbsp;|2005|121 min|DVD|7.0
Contagion|&nbsp;|2011|106 min|DVD|6.6
Coogan's Bluff|&nbsp;|1968|93 min|DVD|6.5
Cool Hand Luke|&nbsp;|1967|127 min|DVD|8.1
Cool Runnings|&nbsp;|1993|98 min|DVD|6.9
Corpse Bride|&nbsp;|2005|77 min|DVD|7.4
Coyote Ugly|&nbsp;|2000|100 min|DVD|5.6
Crouching Tiger, Hidden Dragon|&nbsp;|2000|120 min|DVD|7.9
Cry-Baby|&nbsp;|1990|85 min|DVD|6.5
Curious Case of Benjamin Button, The|&nbsp;|2008|166 min|DVD|7.8
Da Vinci Code, The|&nbsp;|2006|149 min|DVD|6.6
Dad's Army|1|1968–1977|30 min|DVD|8.1
Dad's Army|2|1968–1977|30 min|DVD|8.1
Dad's Army|3|1968–1977|30 min|DVD|8.1
Dad's Army|4|1968–1977|30 min|DVD|8.1
Dad's Army|5|1968–1977|30 min|DVD|8.1
Dad's Army|6|1968–1977|30 min|DVD|8.1
Dad's Army|7|1968–1977|30 min|DVD|8.1
Dad's Army|8|1968–1977|30 min|DVD|8.1
Dad's Army|9|1968–1977|30 min|DVD|8.1
Damien: Omen II|&nbsp;|1978|107 min|DVD|6.3
Dances with Wolves|&nbsp;|1990|181 min|DVD|8.0
Danish Girl, The|&nbsp;|2015|119 min|Blu-ray Disc|7.1
Daredevil|&nbsp;|2003|103 min|DVD|5.3
Dark Crystal, The|&nbsp;|1982|93 min|DVD|7.2
Dark Knight Rises, The|&nbsp;|2012|164 min|Blu-ray Disc|8.4
Dark Knight, The|&nbsp;|2008|152 min|Blu-ray Disc|9.0
Dark Shadows|&nbsp;|2012|113 min|Blu-ray Disc|6.2
Darkest Hour|&nbsp;|2017|125 min|DVD|7.4
Dawn of the Planet of the Apes|&nbsp;|2014|130 min|Blu-ray Disc|7.6
Day After Tomorrow, The|&nbsp;|2004|124 min|DVD|6.4
Days of Thunder|&nbsp;|1990|107 min|DVD|5.9
Dead Poets Society|&nbsp;|1989|128 min|DVD|8.1
Dead Pool, The|&nbsp;|1988|91 min|DVD|6.3
Death Kiss|&nbsp;|2018|87 min|DVD|4.5
